ads_id,prop_name,completion_year,monthly_rent,location,property_type,rooms,parking,bathroom,size,furnished,region,facility_squash_court,facility_swimming_pool,facility_multipurpose_hall,facility_club_house,facility_10,facility_11,facility_tennis_court,facility_gymnasium,facility_parking,facility_minimart,facility_security,facility_lift,facility_jogging_track,facility_playground,facility_barbeque_area,facility_sauna,additional_,additional_cooking_allowed,additional_internet,additional_air-cond,additional_washing_machine,additional_near_ktm/lrt,price_per_sqft,property_age,size_category
107109222,Arte Plus Jalan Ampang,2018.0,2700.0,Ampang,Service Residence,3.0,3.0,2.0,1131.0,Fully Furnished,Kuala Lumpur,0,1,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,1,0,1,1,0,2.387267904509284,6.0,Large
100203973,Segar Courts,2017.0,2300.0,Cheras,Condominium,3.0,1.0,2.0,1170.0,Partially Furnished,Kuala Lumpur,0,1,0,0,0,0,0,1,1,0,1,1,1,1,1,1,0,1,0,1,0,1,1.9658119658119657,7.0,Large
100323128,Pangsapuri Teratak Muhibbah 2,2017.0,1000.0,Taman Desa,Apartment,3.0,1.0,2.0,650.0,Fully Furnished,Kuala Lumpur,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1.5384615384615385,7.0,Medium
100191767,Sentul Point Suite Apartment,2020.0,1700.0,Sentul,Apartment,2.0,1.0,2.0,743.0,Partially Furnished,Kuala Lumpur,1,1,0,0,0,0,0,1,1,1,1,1,0,1,0,0,0,1,0,0,1,1,2.288021534320323,4.0,Medium
97022692,Arte Mont Kiara,2017.0,1299.0,Mont Kiara,Service Residence,1.0,1.0,1.0,494.0,Not Furnished,Kuala Lumpur,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,2.6295546558704452,7.0,Small
100322897,Residensi Vista Wirajaya,2017.0,1500.0,Setapak,Apartment,3.0,1.0,2.0,884.0,Partially Furnished,Kuala Lumpur,0,1,1,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0,1,1.6968325791855203,7.0,Medium
100322962,Sky Meridien,2017.0,2900.0,Sentul,Service Residence,3.0,2.0,2.0,982.0,Fully Furnished,Kuala Lumpur,0,1,1,0,0,0,0,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,2.9531568228105907,7.0,Medium
100322885,Arte Plus Jalan Ampang,2018.0,1550.0,Ampang,Service Residence,1.0,1.0,1.0,700.0,Fully Furnished,Kuala Lumpur,0,1,1,0,0,0,0,1,1,0,1,1,0,1,0,0,0,1,0,1,1,1,2.2142857142857144,6.0,Medium
100322866,Nova I,2014.0,1400.0,Segambut,Apartment,2.0,1.0,1.0,750.0,Fully Furnished,Kuala Lumpur,0,1,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,1,1,1,1.8666666666666667,10.0,Medium
100322863,Sofiya Residences,2017.0,1350.0,Desa ParkCity,Condominium,3.0,1.0,2.0,862.0,Partially Furnished,Kuala Lumpur,0,1,0,0,0,0,0,1,1,0,1,1,0,1,0,0,0,1,0,1,0,1,1.5661252900232019,7.0,Medium
